food_name,Calories,protein_g,fat_g,carbs_g
"Milk, human",71.1,1.03,4.38,6.89
"Milk, NFS",50.75,3.34,1.99,4.87
"Milk, whole",60.599999999999994,3.28,3.2,4.67
"Milk, low sodium, whole",61.38,3.1,3.46,4.46
"Milk, calcium fortified, whole",60.599999999999994,3.28,3.2,4.67
"Milk, calcium fortified, low fat (1%)",42.83,3.38,0.95,5.19
"Milk, calcium fortified, fat free (skim)",34.62,3.4,0.18,4.85
"Milk, reduced fat (2%)",50.14,3.35,1.9,4.91
"Milk, acidophilus, low fat (1%)",42.83,3.38,0.95,5.19
"Milk, acidophilus, reduced fat (2%)",50.14,3.35,1.9,4.91
"Milk, low fat (1%)",42.83,3.38,0.95,5.19
"Milk, fat free (skim)",34.0,3.43,0.08,4.89
"Milk, lactose free, low fat (1%)",42.83,3.38,0.95,5.19
"Milk, lactose free, fat free (skim)",34.0,3.43,0.08,4.89
"Milk, lactose free, reduced fat (2%)",50.14,3.35,1.9,4.91
"Milk, lactose free, whole",60.599999999999994,3.28,3.2,4.67
"Buttermilk, fat free (skim)",42.03,3.31,1.07,4.79
"Buttermilk, low fat (1%)",42.03,3.31,1.07,4.79
"Buttermilk, reduced fat (2%)",55.599999999999994,4.1,2.0,5.3
"Buttermilk, whole",62.15,3.21,3.31,4.88
"Kefir, NS as to fat content",52.92,3.59,0.96,7.48
"Goat's milk, whole",69.3,3.56,4.14,4.45
"Milk, dry, reconstituted, NS as to fat content",31.83,3.2,0.07,4.6
"Milk, dry, reconstituted, whole",76.2,4.01,4.08,5.86
"Milk, dry, reconstituted, low fat (1%)",39.97,3.17,1.01,4.55
"Milk, dry, reconstituted, fat free (skim)",31.83,3.2,0.07,4.6
"Milk, evaporated, NS as to fat content",135.44,6.81,7.56,10.04
"Milk, evaporated, whole",135.44,6.81,7.56,10.04
"Milk, evaporated, reduced fat (2%)",91.92,7.42,1.96,11.15
"Milk, evaporated, fat free (skim)",77.39999999999999,7.55,0.2,11.35
"Milk, condensed, sweetened",327.54,7.91,8.7,54.4
"Non-dairy milk, NFS",29.689999999999998,1.04,1.17,3.75
Soy milk,43.31,2.6,1.47,4.92
"Soy milk, light",30.49,2.38,0.77,3.51
"Soy milk, nonfat",26.799999999999997,2.47,0.04,4.14
"Soy milk, chocolate",62.61,2.26,1.53,9.95
"Soy milk, light, chocolate",47.12,2.1,0.64,8.24
"Soy milk, nonfat, chocolate",47.12,2.1,0.64,8.24
"Almond milk, sweetened",30.85,0.38,0.93,5.24
"Almond milk, sweetened, chocolate",43.629999999999995,0.43,0.95,8.34
"Almond milk, unsweetened",15.48,0.4,0.96,1.31
"Almond milk, unsweetened, chocolate",16.759999999999998,0.46,1.0,1.48
Rice milk,46.53,0.28,0.97,9.17
Coconut milk,31.24,0.21,2.08,2.92
"Yogurt, NFS",63.11,5.25,1.55,7.04
"Yogurt, Greek, NS as to type of milk or flavor",72.84,9.95,1.92,3.94
"Yogurt, NS as to type of milk or flavor",63.11,5.25,1.55,7.04
"Yogurt, NS as to type of milk, plain",63.11,5.25,1.55,7.04
"Yogurt, whole milk, plain",61.77,3.47,3.25,4.66
"Yogurt, low fat milk, plain",63.11,5.25,1.55,7.04
"Yogurt, nonfat milk, plain",55.26,5.73,0.18,7.68
"Yogurt, Greek, NS as to type of milk, plain",72.84,9.95,1.92,3.94
"Yogurt, Greek, whole milk, plain",96.92,9.0,5.0,3.98
"Yogurt, Greek, low fat milk, plain",72.84,9.95,1.92,3.94
"Yogurt, Greek, nonfat milk, plain",59.09,10.3,0.37,3.64
"Yogurt, NS as to type of milk, fruit",88.81,4.66,1.37,14.46
"Yogurt, whole milk, fruit",87.67,3.1,2.87,12.36
"Yogurt, low fat milk, fruit",88.81,4.66,1.37,14.46
